OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
41539,2018,CA,CCO,SBC,WOODCHOPPER 1,15994,2018/07/17 00:00:00+00,2018/07/17 00:00:00+00,11,,23,19.23786,1,1,,2202.784172,-115487.9771
41543,2018,CA,CCO,SBC,WASIOJA,6679,2018/05/20 00:00:00+00,2018/05/22 00:00:00+00,11,,190,189.53737,1,1,,5519.220123,-1144194.509
42041,2018,CA,CDF,AEU,LIBERTY,15944,2018/06/12 00:00:00+00,2018/06/12 00:00:00+00,5,,62,63.635368,1,1,,4445.309836,-418324.6747
42042,2018,CA,CDF,AEU,GRANT,17837,2018/06/29 00:00:00+00,2018/06/29 00:00:00+00,10,,51,50.660011,1,1,,2748.425334,-336044.6144
42043,2018,CA,CDF,AEU,SHINGLE,18477,2018/07/04 00:00:00+00,2018/07/04 00:00:00+00,7,,316,315.99454,1,1,,8973.935284,-2093722.62
42044,2018,CA,CDF,AEU,INDIO,15533,2018/06/08 00:00:00+00,2018/06/08 00:00:00+00,10,,13,13.114491,1,1,,1385.263894,-86776.35967
42045,2018,CA,CDF,AEU,IRISH,18720,2018/07/06 00:00:00+00,2018/07/10 00:00:00+00,2,,825,824.97784,1,1,,16097.77735,-5446687.175
42046,2018,CA,CDF,AEU,BUMPER,21760,2018/08/01 00:00:00+00,2018/08/03 00:00:00+00,14,,66.7,66.736542,1,1,,3477.059243,-443317.9519
42047,2018,CA,CDF,AEU,OMEGA,21770,2018/08/01 00:00:00+00,2018/08/02 00:00:00+00,14,,67,66.692451,1,1,,4037.875548,-445327.4477
42048,2018,CA,CDF,AEU,MYERS,27442,2018/09/20 00:00:00+00,2018/09/22 00:00:00+00,14,,12,10.131806,1,1,,1208.160393,-67497.76328
42049,2018,CA,CDF,AEU,SLIGER,25665,2018/09/04 00:00:00+00,2018/09/07 00:00:00+00,14,,150,134.90163,1,1,,4142.717146,-904111.1801
42050,2018,CA,CDF,AEU,DUTCH,21825,2018/08/02 00:00:00+00,2018/08/05 00:00:00+00,14,,197,197.55481,1,1,,5604.483991,-1317659.922
42051,2018,CA,CDF,BDU,MOFFAT,5618,2018/04/19 00:00:00+00,2018/04/23 00:00:00+00,4,,1265,1253.9247,2,1,,24309.43558,-7904706.457
42052,2018,CA,CDF,BDU,PLEASANT,2752,2018/02/18 00:00:00+00,2018/02/25 00:00:00+00,7,,2077,2075.6963,2,1,,46746.64992,-13337374.95
42053,2018,CA,CDF,BTU,STONEY,10359,2018/07/12 00:00:00+00,2018/09/07 00:00:00+00,14, ,962,954.60706,2,1,,12410.24455,-6548695.899
42054,2018,CA,CDF,BTU,JUNES,16272,2018/10/30 00:00:00+00,2018/11/12 00:00:00+00,5, ,550,450.77301,6,1,,12755.17845,-3055275.734
42055,2018,CA,CDF,BTU,CAMP,16737,2018/11/08 00:00:00+00,2018/11/26 00:00:00+00,11, ,153336,153335.56,1,1,,405925.6301,-1051100904
42056,2018,CA,CDF,CZU,RINCON,7586,2018/11/03 00:00:00+00,2018/11/09 00:00:00+00,14,,17,15.647861,1,1,,1559.651889,-99500.44079
42057,2018,CA,CDF,CZU,BEAR,7905,2018/11/16 00:00:00+00,2018/11/16 00:00:00+00,14,,9,9.0184765,1,1,,1395.07488,-57534.57386
42058,2018,CA,CDF,FKU,FISH,12704,2018/08/30 00:00:00+00,2018/08/30 00:00:00+00,9,,1,1.0097179,1,1,,334.9219172,-6384.28814
