OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
42433,2018,CA,BIA, ,MARTINEZ,11326,2018/07/25 00:00:00+00,2018/07/26 00:00:00+00,14,,,24.775326,7,1,,1974.374158,-144773.7493
42434,2018,CA,CDF,LNU,PAWNEE,9002,2018/06/23 00:00:00+00,2018/07/05 00:00:00+00,14,,,15196,2,1,,148744.0058,-102191530.3
42435,2018,CA,CDF,SLU,WATER,5348,2018/05/24 00:00:00+00,2018/05/24 00:00:00+00,11,Electrical Power,88,87.862076,1,1,,4458.32059,-537762.5462
42436,2018,CA,CDF,SLU,RANGE,1191,2018/02/12 00:00:00+00,2018/02/12 00:00:00+00,9,Munitions (Star Cluster) during military training,1.4,5.25598,7,1,,676.4306127,-32041.10303
42437,2018,CA,CDF,SLU,VINEYARD,5561,2018/05/30 00:00:00+00,2018/05/30 00:00:00+00,2,Mowing,25,25.31846,6,1,,2373.410498,-155858.8422
42438,2018,CA,CDF,SLU,RESORT,5781,2018/06/13 00:00:00+00,2018/06/13 00:00:00+00,14,,13,12.957278,1,1,,2324.578714,-79797.46832
42439,2018,CA,CDF,SLU,TOWNSITE,6111,2018/06/12 00:00:00+00,2018/06/12 00:00:00+00,2,,6,5.6513548,6,1,,969.556173,-34247.64179
42440,2018,CA,CDF,SLU,VISTA,6149,2018/06/13 00:00:00+00,2018/06/13 00:00:00+00,2,Mowing,60.2,59.221058,7,1,,4434.401652,-363906.7964
42441,2018,CA,CDF,SLU,CRESTON,6206,2018/06/14 00:00:00+00,2018/06/14 00:00:00+00,10,Vehicle exhaust,60,56.454029,1,1,,2937.645684,-346219.0281
42442,2018,CA,CDF,SLU,CAMP,7640,2018/07/17 00:00:00+00,2018/07/17 00:00:00+00,11,,14,13.53527,1,1,,1278.488809,-83231.81633
42443,2018,CA,CDF,SLU,MATTIE,7651,2018/07/17 00:00:00+00,2018/07/17 00:00:00+00,10,,0.5,0.781524,1,1,,449.3117158,-4741.493849
42444,2018,CA,CDF,SLU,ALMOND,7433,2018/07/12 00:00:00+00,2018/07/12 00:00:00+00,11,,2.9,3.6620462,7,1,,840.6960826,-22434.75246
42445,2018,CA,CDF,SLU,CREEK,9022,2018/08/19 00:00:00+00,2018/08/19 00:00:00+00,2,Mowing,3,3.0390003,7,1,,771.3574139,-18600.87411
42446,2018,CA,CDF,SLU,ANTELOP,9739,2018/09/06 00:00:00+00,2018/09/06 00:00:00+00,10,,0.5,0.41421059,1,1,,246.3157679,-2549.16556
42447,2018,CA,CDF,SLU,SHANDON,10529,2018/09/29 00:00:00+00,2018/09/29 00:00:00+00,14,,80,80.101578,7,1,,3616.592797,-491842.6691
42448,2018,CA,CDF,SLU,RESERVOIR,10073,2018/09/16 00:00:00+00,2018/09/16 00:00:00+00,11,Electrical Power,53,51.217384,7,1,,4045.663527,-311900.108
42449,2018,CA,CDF,SLU,COLONY,10007,2018/09/14 00:00:00+00,2018/09/14 00:00:00+00,11,Electrical Power,2,2.1109111,7,1,,776.5099259,-12862.68488
